"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
0.95714,-0.00045788,-0.018392,-0.049607,-0.046328,400,
-0.52401,0.0027407,-0.018391,-0.033239,-0.027533,,
-2.0148,0.0060564,-0.015982,-0.019486,-0.01257,,
-3.4907,0.009373,-0.021061,-0.0041119,0.01257,,
-5.0049,0.012592,-0.015402,0.011467,0.025379,,
-6.2549,0.015572,-0.013086,0.027149,0.040223,,
-7.3773,0.018229,-0.014546,0.046213,0.065841,,
-8.3348,0.020479,-0.0022157,0.064721,0.082361,,
-8.9568,0.022238,0.0034727,0.085548,0.10606,,
-9.4585,0.023454,0.013602,0.11115,0.13012,,
-9.6365,0.024095,0.030231,0.13585,0.15167,,
-9.5288,0.024159,0.036957,0.16531,0.17968,,
-9.2445,0.023654,0.05561,0.19367,0.20315,,
-8.5667,0.022618,0.075811,0.2214,0.2241,,
-7.7022,0.021107,0.087789,0.25307,0.25235,,
-6.6788,0.019188,0.11146,0.2805,0.27234,,
-5.4171,0.016943,0.12676,0.30594,0.29341,,
-4.1874,0.014452,0.14388,0.33308,0.31304,,
-2.8679,0.011824,0.16139,0.35419,0.32537,,
-1.523,0.0091259,0.17131,0.37219,0.34129,,
-0.30958,0.0064536,0.18891,0.38602,0.34632,,
0.97682,0.0038703,0.20035,0.39189,0.35063,,
2.1422,0.0014528,0.20299,0.39869,0.3547,,
3.167,-0.0007704,0.21284,0.39389,0.34213,,
4.1636,-0.0027772,0.21209,0.38387,0.33351,,
4.891,-0.0045524,0.21368,0.36875,0.32106,,
5.5324,-0.0061026,0.21061,0.34645,0.29652,,
6.065,-0.0074497,0.20138,0.31792,0.27497,,
6.417,-0.0086375,0.1965,0.28619,0.24098,,
6.8375,-0.0097029,0.18911,0.24926,0.20638,,
7.1853,-0.01071,0.17344,0.20957,0.17286,,
7.4871,-0.011695,0.16641,0.16635,0.12977,,
7.8964,-0.012731,0.15385,0.1211,0.092296,,
8.2153,-0.013868,0.1383,0.075793,0.05387,,
8.6267,-0.015137,0.1305,0.029059,0.011732,,
9.1337,-0.016583,0.1107,-0.013843,-0.023463,,
9.6374,-0.018215,0.10548,-0.056866,-0.065841,,
10.3837,-0.020047,0.096482,-0.099188,-0.10415,,
11.1911,-0.022073,0.082492,-0.13581,-0.13096,,
12.0443,-0.024251,0.081936,-0.17025,-0.167,,
13.0663,-0.026579,0.071646,-0.20026,-0.19513,,
13.9948,-0.029002,0.067356,-0.22296,-0.21572,,
14.9835,-0.031449,0.066321,-0.24584,-0.23762,,
15.9761,-0.033886,0.060091,-0.2622,-0.24864,,
16.8453,-0.036235,0.065724,-0.27538,-0.26671,,
17.7948,-0.038447,0.068259,-0.28796,-0.27653,,
18.6173,-0.040457,0.066394,-0.29158,-0.2745,,
19.2904,-0.042216,0.074784,-0.29482,-0.28335,,
19.9256,-0.043686,0.077344,-0.29311,-0.28084,,
20.2618,-0.044817,0.080725,-0.28647,-0.2715,,
20.4718,-0.045593,0.08968,-0.28096,-0.26827,,
20.5155,-0.046004,0.089519,-0.27234,-0.24876,,
20.3003,-0.046038,0.097551,-0.25879,-0.23511,,
20.0552,-0.045705,0.10256,-0.24236,-0.22003,,
19.6065,-0.045011,0.10197,-0.22234,-0.19728,,
18.968,-0.043974,0.1115,-0.20295,-0.18052,,
18.27,-0.042606,0.11124,-0.18217,-0.15514,,
17.3,-0.040944,0.11394,-0.15807,-0.12869,,
16.2461,-0.039001,0.1131,-0.133,-0.10702,,
15.0724,-0.036782,0.10514,-0.10518,-0.077931,,
13.7071,-0.034311,0.10251,-0.076095,-0.055186,,
12.37,-0.031597,0.099765,-0.050359,-0.029329,,
