"V1","V2",
0.0057756,0.0093978,
0.0066102,0.012971,
0.0059575,0.010825,
0.0057316,0.004072,
0.0063983,-0.0039647,
0.0066519,-0.0092378,
0.0061389,-0.0093763,
0.0060808,-0.0047789,
0.0065372,0.0020409,
0.006526,0.0079169,
0.0061767,0.010315,
0.0058315,0.008167,
0.0061586,0.0025456,
0.0063986,-0.0036172,
0.0059677,-0.0073716,
0.0058772,-0.0072747,
0.0062137,-0.0036735,
0.0066219,0.00169,
0.0063499,0.0064455,
0.0060192,0.0084252,
0.0064572,0.0066878,
0.0066043,0.0023658,
0.0062608,-0.0022475,
0.0058324,-0.0051827,
0.0060496,-0.0054193,
0.0064452,-0.0028531,
0.0060664,0.0012754,
0.005869,0.0048529,
0.0061642,0.0062931,
0.0065752,0.0050371,
0.0064537,0.002025,
0.0060104,-0.0013017,
0.0063131,-0.0035233,
0.0066076,-0.0036529,
0.0063636,-0.0016051,
0.0059015,0.0014213,
0.0059641,0.0037865,
0.0064301,0.0045748,
0.0061577,0.0036228,
0.0058475,0.0014313,
0.006043,-0.0010346,
0.006482,-0.0025426,
0.0065425,-0.0022912,
0.0060354,-0.00048368,
0.0062389,0.0016976,
0.0066132,0.0032818,
0.0064177,0.0037759,
0.0059909,0.0029919,
0.0058686,0.0012079,
0.0063475,-0.00082525,
0.0062472,-0.0020085,
0.0058461,-0.0018534,
0.0059964,-0.00063115,
0.0064341,0.0010451,
0.0066184,0.0025362,
0.0061301,0.0032938,
0.0061353,0.0028447,
0.0065833,0.0014339,
0.0064869,-4.6946e-05,
0.0060611,-0.00096861,
0.0058216,-0.0011101,
0.0062789,-0.00047482,
0.0063796,0.00069131,
0.0059355,0.0018063,
0.0059443,0.0022598,
0.0063372,0.0018496,
0.0066416,0.0010157,
0.0062383,0.00029021,
0.0060553,-0.00019207,
0.0065103,-0.00030778,
0.0065602,8.5373e-05,
0.0061901,0.00085734,
0.0058351,0.0015268,
0.0061755,0.0016119,
0.0064353,0.0012557,
0.0059898,0.00076437,
0.0058778,0.00025344,
0.0062321,-0.00016547,
0.006609,-0.00015681,
0.0063502,0.00047343,
0.0060406,0.0012711,
0.0064413,0.0017122,
0.0065862,0.0017371,
0.006279,0.0014601,
0.0058486,0.00099443,
0.0060203,0.00026981,
0.0063511,-0.00029888,
0.0057853,-0.00034347,
0.0052665,-8.6279e-05,
0.0055863,0.0001197,
0.0065586,0.00031362,
0.0069251,0.00083893,
0.0065761,0.0016044,
0.00669,0.0021181,
0.0066113,0.0021851,
0.0064114,0.0017244,
0.0062688,0.0010262,
0.0062114,0.00029822,
0.0067695,-0.00020351,
0.0068381,4.6178e-05,
0.0059927,0.00085876,
0.005469,0.00155,
0.0058692,0.0014943,
0.0057779,0.00090809,
0.0054767,0.00011912,
0.0068181,-0.00054598,
0.0074466,-0.0003157,
0.0061141,0.00084718,
0.0052072,0.0018941,
0.0057586,0.0019567,
0.0066671,0.0012546,
0.0063759,0.00054715,
0.0056439,1.8165e-05,
0.0055853,-0.00041757,
0.006076,-0.00064472,
0.0067449,-0.00031348,
0.0068279,0.00074314,
0.0066607,0.0020038,
0.0064711,0.0028323,
0.0064242,0.0027494,
0.006343,0.0018517,
0.0055894,0.00056212,
0.0053751,-0.00089007,
0.0056164,-0.0019584,
0.0054419,-0.0019948,
0.005442,-0.0010861,
0.0060392,0.00025519,
0.0065794,0.0016609,
0.0059682,0.0027014,
0.0056983,0.0027151,
0.0064171,0.0016476,
0.006283,0.00025212,
0.0055543,-0.00080396,
0.0053555,-0.0013615,
0.0057474,-0.0012866,
0.005764,-0.00049058,
0.005451,0.00058399,
0.0056679,0.0013605,
0.0060442,0.0015252,
0.0065031,0.0012776,
0.0064605,0.00091546,
0.006405,0.00064663,
0.007161,0.00058028,
0.0072199,0.00098419,
0.0063017,0.0016729,
0.0057253,0.0019904,
0.0060116,0.0014826,
0.0058008,0.00056531,
0.0050385,-0.00036093,
0.0055422,-0.0011842,
0.0065274,-0.0013657,
0.0068242,-0.00049813,
0.0062009,0.0010904,
0.0052479,0.0024272,
0.0055689,0.0025952,
0.0066234,0.0016297,
0.0067581,0.00049535,
0.0057015,-0.00018035,
0.0053215,-0.00061022,
0.0061066,-0.00078787,
0.0061474,-0.00032715,
0.0056981,0.00054303,
0.0055947,0.0012055,
0.005974,0.0013447,
0.0063908,0.0010904,
0.0063552,0.00079981,
0.0062084,0.00058322,
0.005609,0.00041028,
0.0052779,0.0001357,
0.0055605,-0.00024082,
0.0055769,-0.00048575,
0.0057725,-0.00055587,
0.0061597,-0.00027124,
0.0062336,0.00041912,
0.0060415,0.0012415,
0.0064583,0.0017644,
0.0069801,0.0018894,
0.0061955,0.0017471,
0.0061538,0.0012048,
0.0073784,0.00055277,
0.0074096,0.00049593,
0.0064849,0.0010406,
0.0064323,0.0015991,
0.0071463,0.001875,
0.0070926,0.0020114,
0.0066417,0.0019791,
0.0063271,0.0016333,
0.0061314,0.00095608,
0.0065475,0.00023503,
0.0063359,-7.7689e-05,
0.0058808,2.9292e-06,
0.0062311,0.00024689,
0.0059913,0.00068544,
0.0052844,0.0010452,
0.0054732,0.00090791,
0.0061042,0.00033426,
0.0057856,-9.1841e-05,
0.0056271,-0.00028295,
0.0064093,-0.00027287,
0.0067717,0.00030594,
0.0069682,0.0012507,
0.0062358,0.0022568,
0.0049293,0.0024283,
0.006015,0.0013122,
0.007714,4.2937e-06,
0.0068129,-0.00034785,
0.0053625,5.9278e-05,
0.0061737,0.00046802,
0.0069136,0.00095481,
0.0063582,0.0015715,
0.0068769,0.0019161,
0.0071321,0.0020067,
0.0061373,0.0019123,
0.0058538,0.0013476,
0.0064126,0.00048,
0.0070708,-8.8211e-05,
0.0070419,0.00011813,
0.0059407,0.00096114,
0.0046895,0.0016142,
0.0049458,0.0011926,
0.0057999,-1.423e-05,
0.0056358,-0.0010669,
0.0057577,-0.0014836,
0.0059672,-0.0010225,
0.0058562,7.1376e-05,
0.0062751,0.0012763,
0.006149,0.0022059,
0.0059142,0.0023639,
0.0067826,0.0016785,
0.0072009,0.00085275,
0.0060279,0.00043429,
0.0056829,0.00014667,
0.0066909,-8.2282e-05,
0.0061766,0.00019985,
0.0054185,0.00067629,
0.0061353,0.00091778,
0.0069169,0.0010253,
0.0075101,0.0013035,
0.007604,0.0018694,
0.0072072,0.0025457,
0.0069251,0.0028082,
0.006813,0.0024326,
0.0062735,0.0016087,
0.0057692,0.00046767,
0.0064398,-0.00059287,
0.0063198,-0.00089371,
0.0050355,-0.00037135,
0.0049908,0.00016833,
0.0060307,0.00041096,
0.0065968,0.00066888,
0.0063164,0.0011446,
0.0068354,0.0015655,
0.0078827,0.0019686,
0.0075887,0.0024895,
0.0068442,0.0028324,
0.0065127,0.0025828,
0.0064058,0.0016689,
0.0061264,0.00044845,
0.0058057,-0.00058376,
0.0056985,-0.0010964,
0.0054304,-0.00099016,
0.0056754,-0.00041609,
0.0060232,0.0004644,
0.0059687,0.001379,
0.0060996,0.0018816,
0.0063294,0.001717,
0.0064949,0.0011455,
0.0061271,0.00054111,
0.0060248,5.5005e-05,
0.0066519,-0.00015492,
0.0067966,0.00027038,
0.0064903,0.0012076,
0.0061045,0.0019935,
0.0058269,0.0021045,
0.0055519,0.0014255,
0.0057346,0.00023237,
0.0066584,-0.00075745,
0.0065121,-0.00082611,
0.0057744,-2.9328e-05,
0.0055617,0.0010137,
0.0053902,0.0016178,
0.0055861,0.0014435,
0.0058936,0.00074658,
0.0057573,3.1791e-05,
0.0056515,-0.00045208,
0.0063914,-0.00062321,
0.0069292,-7.8743e-05,
0.0063425,0.0011685,
0.0056457,0.0022213,
0.0050294,0.0022639,
0.0055072,0.0011456,
0.0067828,-0.00027811,
0.0066476,-0.0008696,
0.0063444,-0.00055598,
0.0066659,0.00040015,
0.0060582,0.0016232,
0.0052537,0.0023013,
0.0063604,0.0018932,
0.0073913,0.0010706,
0.0061792,0.00073487,
0.0057568,0.00047541,
0.0062844,0.0001866,
